Wall time,Step,Value
1700837025.3898063,110,0.05634405091404915
1700837102.359122,221,0.08879990130662918
1700837179.0255427,332,0.1596689522266388
1700837259.3747082,443,0.16888947784900665
1700837339.6071646,554,0.2241440862417221
1700837419.2202356,665,0.2215065360069275
1700837495.5535626,776,0.27565523982048035
1700837575.8926442,887,0.2776862382888794
1700837656.8242571,998,0.27791857719421387
1700837738.3494358,1109,0.28515854477882385
1700837819.9255672,1220,0.31938809156417847
1700837901.5833535,1331,0.32977309823036194
1700837983.2926805,1442,0.33803650736808777
1700838063.4085286,1553,0.3393264710903168
1700838144.3175447,1664,0.360083669424057
1700838226.1431046,1775,0.3653700053691864
1700838307.986039,1886,0.3579863905906677
1700838386.8691576,1997,0.357203871011734
1700838464.2312346,2108,0.3681599199771881
1700838546.1324391,2219,0.3789214491844177
1700838628.0135229,2330,0.3830481767654419
1700838709.7585661,2441,0.3885265588760376
1700838791.3763204,2552,0.36910533905029297
1700838868.9949148,2663,0.39209625124931335
1700838950.5830438,2774,0.38973402976989746
1700839027.9712076,2885,0.39151531457901
1700839105.8687491,2996,0.3947128355503082
1700839187.3601997,3107,0.40363046526908875
1700839269.052534,3218,0.3955106735229492
1700839346.3964405,3329,0.3808034062385559
1700839423.7339299,3440,0.3997085988521576
1700839501.3018115,3551,0.41283276677131653
1700839582.8528981,3662,0.39811593294143677
1700839662.6260946,3773,0.40701398253440857
1700839740.1094081,3884,0.4107702672481537
1700839817.7339532,3995,0.42579710483551025
1700839900.4739254,4106,0.41886386275291443
1700839978.3560417,4217,0.4167182147502899
1700840056.551417,4328,0.4159563183784485
1700840134.060829,4439,0.4239330589771271
1700840212.1196432,4550,0.4254651665687561
1700840290.080871,4661,0.4148215651512146
1700840367.4988072,4772,0.4226897954940796
1700840445.4684865,4883,0.4095204770565033
1700840522.9435515,4994,0.4189341068267822
1700840600.5749893,5105,0.4263612926006317
1700840682.2833424,5216,0.42650434374809265
1700840764.3916395,5327,0.44022151827812195
1700840846.2367961,5438,0.4277031719684601
1700840923.9187894,5549,0.42783862352371216
1700841001.259589,5660,0.4420144259929657
1700841082.9881253,5771,0.4256243407726288
1700841160.3062913,5882,0.43160343170166016
1700841238.697842,5993,0.4289815425872803
1700841316.063074,6104,0.3914364278316498
1700841393.2263694,6215,0.43737873435020447
1700841470.9205956,6326,0.4328615367412567
1700841548.00115,6437,0.44348472356796265
1700841630.3769455,6548,0.4389321506023407
1700841708.0060678,6659,0.43142902851104736
1700841786.4788473,6770,0.43770644068717957
1700841864.3462212,6881,0.44065365195274353
1700841942.1726365,6992,0.428916871547699
1700842019.9130762,7103,0.43908771872520447
1700842097.225127,7214,0.44000309705734253
1700842174.8705335,7325,0.4349541962146759
1700842252.3915217,7436,0.443439781665802
1700842329.5857584,7547,0.4424980580806732
1700842406.915083,7658,0.4378366470336914
1700842484.173966,7769,0.43808919191360474
1700842561.9858892,7880,0.44462862610816956
1700842643.6425705,7991,0.44669070839881897
1700842725.4237225,8102,0.4262131452560425
1700842803.0356522,8213,0.4411662817001343
1700842880.9411929,8324,0.4380553066730499
1700842959.1609733,8435,0.43805834650993347
1700843036.77403,8546,0.4377291798591614
1700843114.4690924,8657,0.4422270953655243
1700843192.1968312,8768,0.4401305615901947
1700843269.98751,8879,0.4485185444355011
1700843351.9125645,8990,0.4470527470111847
1700843429.409329,9101,0.4436734616756439
1700843506.8522942,9212,0.42736801505088806
1700843585.0089319,9323,0.44882896542549133
1700843666.9812694,9434,0.4401707351207733
1700843744.37694,9545,0.44841885566711426
1700843821.785075,9656,0.456320583820343
1700843903.211562,9767,0.4455525279045105
1700843981.3498201,9878,0.4541661739349365
1700844058.6797674,9989,0.4403586983680725
1700844136.092669,10100,0.44827231764793396
1700844213.2293055,10211,0.44368085265159607
1700844290.6314404,10322,0.45139819383621216
1700844367.8611953,10433,0.4364403486251831
1700844445.0277474,10544,0.444654256105423
1700844522.3842409,10655,0.45097815990448
1700844599.5364852,10766,0.4523490369319916
1700844677.0889661,10877,0.4518050253391266
1700844754.3078382,10988,0.44340139627456665
1700844831.4187226,11099,0.4425930678844452
1700844908.4775748,11210,0.45762476325035095
1700844990.3506875,11321,0.44546741247177124
1700845067.474921,11432,0.44704362750053406
1700845144.763792,11543,0.4412219524383545
1700845222.0018585,11654,0.4483617842197418
1700845299.0450242,11765,0.4552989900112152
1700845376.4359765,11876,0.4516121447086334
1700845453.4587789,11987,0.4550594091415405
1700845530.75182,12098,0.44934433698654175
1700845608.408088,12209,0.45162463188171387
1700845685.3292444,12320,0.45980608463287354
1700845767.7872703,12431,0.4493122398853302
1700845844.8578546,12542,0.45877858996391296
1700845921.9518821,12653,0.4494667053222656
1700845999.3976455,12764,0.4579710066318512
1700846076.6979349,12875,0.45636531710624695
1700846154.1006656,12986,0.4574204087257385
1700846230.905498,13097,0.4515191614627838
1700846308.1958592,13208,0.44095873832702637
1700846385.2894435,13319,0.4489905536174774
1700846462.8117812,13430,0.4554332494735718
1700846540.2979183,13541,0.46197694540023804
1700846621.725273,13652,0.4552014470100403
1700846699.2115402,13763,0.4555371403694153
1700846776.2842803,13874,0.45924749970436096
1700846853.247413,13985,0.4556165933609009
1700846930.0885825,14096,0.4555569887161255
1700847007.8874154,14207,0.4592442810535431
1700847085.33719,14318,0.4518621265888214
1700847162.6210375,14429,0.4508509039878845
1700847240.5287583,14540,0.4526312053203583
1700847317.6721506,14651,0.4528193175792694
1700847394.7520194,14762,0.4563917815685272
1700847471.610043,14873,0.44914329051971436
1700847548.7641568,14984,0.45273274183273315
1700847626.197342,15095,0.45289087295532227
1700847703.197491,15206,0.4631999731063843
1700847784.33436,15317,0.44899317622184753
1700847861.2521987,15428,0.45658835768699646
1700847938.0501246,15539,0.4556865096092224
1700848015.243409,15650,0.4620886445045471
1700848092.1258855,15761,0.458634614944458
1700848169.1282537,15872,0.45817258954048157
1700848246.3306372,15983,0.46842703223228455
1700848327.720457,16094,0.4529030919075012
1700848405.1010902,16205,0.45029136538505554
1700848482.4853168,16316,0.45658740401268005
1700848559.70163,16427,0.4557317793369293
1700848636.7030091,16538,0.45267054438591003
1700848713.5098803,16649,0.44708213210105896
